year,region,streams
2017,Andorra,0.0
2017,Argentina,2687570939.0
2017,Australia,3283499394.0
2017,Austria,333892583.0
2017,Belgium,544140792.0
2017,Bolivia,94319700.0
2017,Brazil,6677867793.0
2017,Bulgaria,6825284.0
2017,Canada,3125893391.0
2017,Chile,2123467992.0
2017,Colombia,813805950.0
2017,Costa Rica,353731059.0
2017,Czech Republic,203176033.0
2017,Denmark,1479614356.0
2017,Dominican Republic,149841021.0
2017,Ecuador,309275981.0
2017,El Salvador,78102113.0
2017,Estonia,21402546.0
2017,Finland,1221239136.0
2017,France,3068255917.0
2017,Germany,5874814951.0
2017,Global,75248867959.0
2017,Greece,57279069.0
2017,Guatemala,171952354.0
2017,Honduras,89340165.0
2017,Hong Kong,288253782.0
2017,Hungary,148816924.0
2017,Iceland,78607588.0
2017,Indonesia,1248862891.0
2017,Ireland,633437984.0
2017,Italy,2318420960.0
2017,Japan,304515792.0
2017,Latvia,32840590.0
2017,Lithuania,29915499.0
2017,Luxembourg,6012298.0
2017,Malaysia,636855358.0
2017,Mexico,6178260482.0
2017,Netherlands,3385264314.0
2017,New Zealand,793173795.0
2017,Nicaragua,8335651.0
2017,Norway,1971852434.0
2017,Panama,127442932.0
2017,Paraguay,161153652.0
2017,Peru,1047472995.0
2017,Philippines,3241421071.0
2017,Poland,763473517.0
2017,Portugal,430359422.0
2017,Singapore,744304847.0
2017,Slovakia,41300733.0
2017,Spain,3667338121.0
2017,Sweden,3306216382.0
2017,Switzerland,473344596.0
2017,Taiwan,433914893.0
2017,Thailand,54246596.0
2017,Turkey,897287305.0
2017,United Kingdom,7031797779.0
2017,United States,25764218998.0
2017,Uruguay,188975099.0
2018,Andorra,0.0
2018,Argentina,3154620138.0
2018,Australia,4060855939.0
2018,Austria,457834914.0
2018,Belgium,641313454.0
2018,Bolivia,145785505.0
2018,Brazil,9133616560.0
2018,Bulgaria,1593312.0
2018,Canada,3883068878.0
2018,Chile,2944350366.0
2018,Colombia,965389042.0
2018,Costa Rica,365316475.0
2018,Czech Republic,257941191.0
2018,Denmark,1372543351.0
2018,Dominican Republic,186562285.0
2018,Ecuador,407573577.0
2018,Egypt,0.0
2018,El Salvador,109883321.0
2018,Estonia,26121880.0
2018,Finland,1085896473.0
2018,France,4103821514.0
2018,Germany,7277458489.0
2018,Global,83871067173.0
2018,Greece,89968363.0
2018,Guatemala,232749541.0
2018,Honduras,93345382.0
2018,Hong Kong,289572782.0
2018,Hungary,197670940.0
2018,Iceland,99343933.0
2018,Indonesia,1800258387.0
2018,Ireland,774904105.0
2018,Israel,105866327.0
2018,Italy,4784976103.0
2018,Japan,641421310.0
2018,Latvia,42714196.0
2018,Lithuania,30629557.0
2018,Luxembourg,467504.0
2018,Malaysia,688723176.0
2018,Mexico,7256065181.0
2018,Morocco,0.0
2018,Netherlands,3816052453.0
2018,New Zealand,856365506.0
2018,Nicaragua,279698.0
2018,Norway,1820723707.0
2018,Panama,168039524.0
2018,Paraguay,261330108.0
2018,Peru,1353853362.0
2018,Philippines,3467089600.0
2018,Poland,1216950237.0
2018,Portugal,459039520.0
2018,Romania,67502645.0
2018,Saudi Arabia,0.0
2018,Singapore,789213580.0
2018,Slovakia,72959407.0
2018,South Africa,38560847.0
2018,Spain,4687972603.0
2018,Sweden,2957392443.0
2018,Switzerland,635262063.0
2018,Taiwan,452636188.0
2018,Thailand,324612327.0
2018,Turkey,1433759741.0
2018,United Arab Emirates,0.0
2018,United Kingdom,7700533164.0
2018,United States,30786047524.0
2018,Uruguay,217599844.0
2018,Vietnam,63494060.0
2019,Andorra,0.0
2019,Argentina,3961321148.0
2019,Australia,4354534346.0
2019,Austria,612857119.0
2019,Belgium,823328537.0
2019,Bolivia,236252662.0
2019,Brazil,11105842661.0
2019,Bulgaria,22214946.0
2019,Canada,4153883483.0
2019,Chile,4004220106.0
2019,Colombia,1173245962.0
2019,Costa Rica,445764447.0
2019,Czech Republic,354891927.0
2019,Denmark,1368049019.0
2019,Dominican Republic,248425444.0
2019,Ecuador,565831034.0
2019,Egypt,9804476.0
2019,El Salvador,189197350.0
