year,artist,streams
2017,!!!,0.0
2017,"!!!, Lea Lea",0.0
2017,#90s Update,0.0
2017,"#JPTH, Juha Pekka Tapani Heikkinen JA NIIN EDELLEEN, Väinö Wallenius, Jouni Raatikainen",0.0
2017,"#Klasse, Kuselofte",0.0
2017,#TocoParaVos,3452743.0
2017,$igmund,0.0
2017,$uicideboy$,44258.0
2017,"$uicideboy$, Germ",0.0
2017,&ME,0.0
2017,( Me Llamo ) Sebastián,0.0
2017,(Hed) P.E.,0.0
2017,*NSYNC,7484201.0
2017,-DARRELL-,0.0
2017,"-M-, Michel Legrand",43037.0
2017,"-M-, Sidiki Diabaté",0.0
2017,"-M-, Toumani Diabaté, Amadou & Mariam, Jain",0.0
2017,"-M-, Toumani Diabaté, Sidiki Diabaté",0.0
2017,"-M-, Toumani Diabaté, Sidiki Diabaté, Fatoumata Diawara",0.0
2017,"-M-, Toumani Diabaté, Sidiki Diabaté, Fatoumata Diawara, Oxmo Puccino",0.0
2017,"-M-, Toumani Diabaté, Sidiki Diabaté, Kerfala Kante, Philippe Jaroussky",0.0
2017,"-M-, Toumani Diabaté, Sidiki Diabaté, Santigold, Hiba Tawaji, Ibrahim Maalouf, Seu Jorge, Nekfeu, Youssou N'Dour, Sanjay Khan, Chacha",0.0
2017,".Feast, Bam Mastro, Mardial, Ramengvrl",0.0
2017,".Feast, Karaeng Adjie",0.0
2017,".Sinh, Masego",0.0
2017,.fab,0.0
2017,"//Beckom, Great Dane",0.0
2017,"0-600, Neo Pistea, Coqeéin Montana",0.0
2017,"015B, O.WHEN",0.0
2017,070,0.0
2017,"070 Shake, Phi",0.0
2017,"070 Shake, Ralphy River, Hack & Tree",31035.0
2017,08001,0.0
2017,1 AMVRKA,0.0
2017,"1 Segundo es demasiado, Rolo Sartorio",0.0
2017,"1 World, Bob Marley & The Wailers",0.0
2017,10 Ft. Ganja Plant,0.0
2017,"10,000 Maniacs",0.0
2017,10-FEET,0.0
2017,100 Kila,0.0
2017,"100 Kila, Wosh Mc",0.0
2017,100%,2465.0
2017,1000TRISS,0.0
2017,1000mods,0.0
2017,100gadis Bolsi,0.0
2017,101Barz,23106.0
2017,"101Barz, 3robi",58163.0
2017,"101Barz, Mula B",0.0
2017,101BarzBNN,0.0
2017,"101BarzBNN, Mula B",0.0
2017,"10Digits, Charmie",0.0
2017,10cc,0.0
2017,10cm,247144.0
2017,11:11,0.0
2017,12:00,6706.0
2017,12eek Monkey,0.0
2017,13 Block,515913.0
2017,13 Crowns,8652.0
2017,1337likes,0.0
2017,1415,0.0
2017,169,0.0
2017,16BL,0.0
2017,"16yrold, KILLY",146631.0
2017,17 Memphis,0.0
2017,18 Karat,0.0
2017,18 Kilates,0.0
2017,187 Strassenbande,268290.0
2017,"187 Strassenbande, Bonez MC",3251200.0
2017,"187 Strassenbande, Bonez MC, Gzuz",27967210.0
2017,"187 Strassenbande, Bonez MC, LX, Gzuz",2672616.0
2017,"187 Strassenbande, Bonez MC, RAF Camora, Gzuz, Maxwell",6550661.0
2017,"187 Strassenbande, Gzuz, Bonez MC",5716090.0
2017,"187 Strassenbande, Gzuz, Bonez MC, LX",16630889.0
